name,Internal Reference,Sales Price,categ_id/name,description,type,detailed_type,qty_available
Brewer’s Best Juniper Berries 1 oz,888690024137,3.99,Homebrew,,product,product,0
Brewer's Best Natural Beer and Wine Flavoring (Apple),W213775,5.99,Homebrew,,product,product,0
"Brewer’s Best Natural Flavorings, 4 oz (Blackberry)",126206Q,5.99,Homebrew,,product,product,0
Brewers Ale/Beer pH strips,888690054165,7.99,Homebrew,,product,product,7
Brewers Best Flavoring Extract Grape,385669Y,5.99,Homebrew,,product,product,2
Brewers Best Hibiscus Flower,598796Z,5.99,Homebrew,,product,product,0
Brewers Sea Salt 1oz,888690124394,1.0,Homebrew,,product,product,4
Brewing with Wheat by Stan Hieronymus,M651109,17.95,Homebrew,,product,product,3
Brewmaster - Sweet Orange Peel,N906115,2.99,Homebrew,,product,product,0
Brewmaster Blue Juniper Berries - Whole,6598050,2.49,Homebrew,,product,product,3
Brewmaster EC-1118 wine yeast,730992F,1.49,Homebrew,The Brewmaster EC-1118 wine yeast is a versatile and reliabl,product,product,11
Brewmaster Sorghum Extract 3 lb,685826065541,15.99,Homebrew,,product,product,2
Brewzilla 35L 220v Gen 3,9388866605821,489.99,Homebrew,,product,product,0
Brewzilla 35L Gen 4,9388866604763,599.99,Homebrew,,product,product,0
Brewzilla 35L Gen3,F865260,399.99,Homebrew,,product,product,0
Brewzilla Chiller connector kit,9388866617114,14.99,Homebrew,,product,product,0
Briess Caramel 60L 10 lb,888690219250,24.99,Homebrew,,product,product,0
Briess Carapils 10 lb,888690219267,24.99,Homebrew,,product,product,5
Briess CBW Bavarian Wheat DME 1 lb,888690117952,7.49,Homebrew,,product,product,6
Briess CBW Bavarian Wheat DME 3 lb,888690217959,16.99,Homebrew,,product,product,8
Briess CBW Bavarian Wheat LME 3.3 lb,685826052800,14.99,Homebrew,,product,product,7
Briess CBW Golden Light DME 1 lb,888690117969,7.49,Homebrew,,product,product,4
Briess CBW Golden Light DME 3 lb,888690217966,16.99,Homebrew,,product,product,8
Briess CBW Golden Light LME 3.3 lb,685826052749,14.99,Homebrew,,product,product,3
Briess CBW Munich LME 3.3 lb,685826064377,14.99,Homebrew,,product,product,2
Briess CBW Pale Ale LME 3.3 lbs,685826070316,14.99,Homebrew,,product,product,2
